Year,Exchange Rate,Source
1985,26.3974,https://countryeconomy.com/currencies/sri-lanka?dr=1985-01
1986,28.0173,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1987,29.4448,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1988,31.8066,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1989,36.0467,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1990,40.0629,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1991,41.3714,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1992,43.8322,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1993,48.2514,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1994,49.415,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1995,51.2516,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1996,55.2719,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1997,58.9937,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1998,64.5913,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
1999,70.3922,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2000,75.7772,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2001,89.3628,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2002,95.6618,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2003,96.5209,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2004,101.1884,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2005,100.499,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2006,103.9623,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2007,110.6232,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2008,108.3338,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2009,114.9448,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2010,113.0647,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2011,110.5652,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2012,127.6034,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2013,129.1099,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2014,130.5606,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2015,135.9378,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2016,145.6016,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2017,152.4575,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2018,162.5403,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2019,178.7776,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2020,185.5238,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/sheets/Monthly_Average_Exchange_Rates_20210902.xlsx
2021,200.43,https://lankastatistics.com/economic/exchange-rate.html
2022,363.11,https://lankastatistics.com/economic/exchange-rate.html
2023,323.92,https://lankastatistics.com/economic/exchange-rate.html
2024,301.67,https://fred.stlouisfed.org/data/AEXSLUS
