Year,Unemployment Rate,Source,Pdf Page Number
1985,13.2,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1986,13.2,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1987,13.93,Data Unavailable,
1988,13.93,Data Unavailable,
1989,13.93,Data Unavailable,
1990,13.93,Data Unavailable,
1991,14.66,https://www.macrotrends.net/global-metrics/countries/lka/sri-lanka/unemployment-rate,
1992,14.5,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1993,13.8,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1994,12.1,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/publications/annual_report/archives/en/1996_09_Chapter_07_en.pdf,2
1995,12.3,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1996,11.4,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1997,10.6,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1998,9.2,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
1999,8.88,https://www.macrotrends.net/global-metrics/countries/lka/sri-lanka/unemployment-rate,
2000,7.6,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
2001,7.9,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
2002,8.8,https://www.statistics.gov.lk/Resource/en/LabourForce/Other_Tables/EmploymentUnemploymentSriLanka.pdf,24
2003,8.4, https://www.statistics.gov.lk/Resource/en/LabourForce/Annual_Reports/2003.pdf ,2
2004,8.3,https://www.statistics.gov.lk/Resource/en/LabourForce/Annual_Reports/2004.pdf,17
2005,7.67,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2006,6.5,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2007,5.97,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2008,5.22,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2009,5.85,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2010,4.78,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2011,4.12,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2012,3.88,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2013,4.19,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2014,4.16,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2015,4.52,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2016,4.24,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2017,4.05,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2018,4.32,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2019,4.67,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2020,5.36,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2021,4.98,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2022,4.53,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2023,6,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
2024,5,https://www.statista.com/statistics/728520/unemployment-rate-in-sri-lanka/,
